,Voltage,Current,Power,Time,Timestamp
0,223.09,0.06,13.39,2022-10-12 10:57:03.642414,1665547023.642414
1,223.13,0.06,13.39,2022-10-12 10:57:12.613645,1665547032.613645
2,223.15,0.06,13.39,2022-10-12 10:57:25.467631,1665547045.467631
3,223.09,0.06,13.39,2022-10-12 10:57:35.454209,1665547055.454209
4,223.02,0.06,13.38,2022-10-12 10:57:44.177846,1665547064.177846
5,223.06,0.06,13.38,2022-10-12 10:57:55.782268,1665547075.782268
6,223.02,0.06,13.38,2022-10-12 10:58:06.343256,1665547086.343256
7,223.02,0.06,13.38,2022-10-12 10:58:14.691595,1665547094.691595
8,222.97,0.06,13.38,2022-10-12 10:58:23.487755,1665547103.487755
9,223.0,0.06,13.38,2022-10-12 10:58:32.226376,1665547112.226376
