,Voltage,Current,Power,Time,Timestamp
0,220.5,0.02,4.41,2022-11-14 15:10:47.651372,1668413447.651372
1,220.78,0.02,4.42,2022-11-14 15:10:56.118706,1668413456.118706
2,220.57,0.02,4.41,2022-11-14 15:11:02.346893,1668413462.346893
3,220.65,0.02,4.41,2022-11-14 15:11:08.698743,1668413468.698743
4,220.65,0.02,4.41,2022-11-14 15:11:15.483569,1668413475.483569
5,220.72,0.02,4.41,2022-11-14 15:11:22.013975,1668413482.013975
6,220.57,0.02,4.41,2022-11-14 15:11:28.879063,1668413488.879063
7,220.92,0.02,4.42,2022-11-14 15:11:35.550870,1668413495.55087
8,220.92,0.02,4.42,2022-11-14 15:11:43.122004,1668413503.122004
9,220.57,0.03,6.62,2022-11-14 15:11:49.401218,1668413509.401218
10,220.72,0.03,6.62,2022-11-14 15:11:55.833355,1668413515.833355
11,220.52,0.03,6.62,2022-11-14 15:12:03.101432,1668413523.101432
12,220.7,0.03,6.62,2022-11-14 15:12:09.238833,1668413529.238833
13,220.39,0.02,4.41,2022-11-14 15:12:16.008078,1668413536.008078
14,220.68,0.02,4.41,2022-11-14 15:12:22.557230,1668413542.55723
15,220.74,0.02,4.41,2022-11-14 15:12:29.007680,1668413549.00768
16,220.77,0.02,4.42,2022-11-14 15:12:35.669690,1668413555.66969
17,220.77,0.02,4.42,2022-11-14 15:12:42.517832,1668413562.517832
18,220.73,0.02,4.41,2022-11-14 15:12:49.455395,1668413569.455395
19,220.63,0.02,4.41,2022-11-14 15:12:55.296249,1668413575.296249
20,220.44,0.03,6.61,2022-11-14 15:13:02.048384,1668413582.048384
21,221.03,0.02,4.42,2022-11-14 15:13:08.916937,1668413588.916937
22,219.74,0.03,6.59,2022-11-14 15:13:15.990308,1668413595.990308
23,220.81,0.03,6.62,2022-11-14 15:13:22.335716,1668413602.335716
24,221.13,0.02,4.42,2022-11-14 15:13:29.107453,1668413609.107453
25,220.81,0.02,4.42,2022-11-14 15:13:37.666564,1668413617.666564
26,220.68,0.03,6.62,2022-11-14 15:13:44.896158,1668413624.896158
27,221.02,0.02,4.42,2022-11-14 15:13:52.042328,1668413632.042328
28,220.48,0.02,4.41,2022-11-14 15:13:58.980000,1668413638.98
29,220.43,0.02,4.41,2022-11-14 15:14:06.213702,1668413646.213702
30,220.82,0.03,6.62,2022-11-14 15:14:13.444167,1668413653.444167
31,220.47,0.03,6.61,2022-11-14 15:14:22.126107,1668413662.126107
32,220.92,0.03,6.63,2022-11-14 15:14:29.818432,1668413669.818432
33,220.94,0.02,4.42,2022-11-14 15:14:37.400033,1668413677.400033
34,220.96,0.03,6.63,2022-11-14 15:14:44.464742,1668413684.464742
35,220.81,0.02,4.42,2022-11-14 15:14:52.135166,1668413692.135166
36,220.74,0.03,6.62,2022-11-14 15:14:58.783531,1668413698.783531
37,220.97,0.02,4.42,2022-11-14 15:15:08.523112,1668413708.523112
38,220.94,0.02,4.42,2022-11-14 15:15:15.425786,1668413715.425786
39,220.86,0.03,6.63,2022-11-14 15:15:22.169675,1668413722.169675
40,220.74,0.03,6.62,2022-11-14 15:15:29.322483,1668413729.322483
41,220.58,0.03,6.62,2022-11-14 15:15:36.296366,1668413736.296366
42,220.78,0.02,4.42,2022-11-14 15:15:43.317186,1668413743.317186
43,220.31,0.02,4.41,2022-11-14 15:15:50.799168,1668413750.799168
44,220.31,0.03,6.61,2022-11-14 15:15:57.887495,1668413757.887495
45,220.88,0.02,4.42,2022-11-14 15:16:05.503540,1668413765.50354
46,220.72,0.03,6.62,2022-11-14 15:16:12.426368,1668413772.426368
47,220.59,0.02,4.41,2022-11-14 15:16:19.395273,1668413779.395273
48,221.28,0.03,6.64,2022-11-14 15:16:26.480623,1668413786.480623
49,220.68,0.03,6.62,2022-11-14 15:16:33.408845,1668413793.408845
50,220.7,0.02,4.41,2022-11-14 15:16:40.381648,1668413800.381648
51,220.68,0.02,4.41,2022-11-14 15:16:48.669031,1668413808.669031
52,220.89,0.02,4.42,2022-11-14 15:16:56.079216,1668413816.079216
53,220.65,0.02,4.41,2022-11-14 15:17:03.226173,1668413823.226173
54,220.49,0.02,4.41,2022-11-14 15:17:10.095559,1668413830.095559
55,220.57,0.02,4.41,2022-11-14 15:17:17.166503,1668413837.166503
56,220.16,0.03,6.6,2022-11-14 15:17:24.609829,1668413844.609829
57,220.65,0.02,4.41,2022-11-14 15:17:31.677141,1668413851.677141
58,220.5,0.03,6.61,2022-11-14 15:17:38.850314,1668413858.850314
59,220.74,0.02,4.41,2022-11-14 15:17:46.014358,1668413866.014358
60,220.43,0.02,4.41,2022-11-14 15:17:52.988132,1668413872.988132
61,221.15,0.02,4.42,2022-11-14 15:18:00.181376,1668413880.181376
62,220.7,0.02,4.41,2022-11-14 15:18:06.377723,1668413886.377723
63,220.81,0.02,4.42,2022-11-14 15:18:13.124733,1668413893.124733
64,220.82,0.03,6.62,2022-11-14 15:18:20.028174,1668413900.028174
65,220.86,0.03,6.63,2022-11-14 15:18:26.986817,1668413906.986817
